"","Day","Height"
"1",6,3
"2",5,3
"3",6,3
"4",6,3
"5",6,3.1
"6",5,3.1
"7",5,3
"8",6,3.1
"9",6,2.8
"10",6,2.9
"11",5,2.9
"12",7,3.2
"13",7,3.1
"14",7,2.9
"15",5,3.1
"16",6,3.1
"17",5,3.1
"18",6,3
"19",7,3
"20",6,2.9
"21",6,3.2
"22",7,2.9
"23",6,2.8
"24",5,3
"25",6,2.9
"26",5,2.6
"27",6,1.9
"28",6,2.5
"29",6,2.7
"30",6,2
"31",5,2.9
"32",6,2.4
"33",5,2.7
"34",5,2.2
"35",5,2.4
"36",6,2.9
"37",6,2.3
"38",6,1.7
"39",6,1.8
"40",6,2.1
"41",6,3.7
"42",5,2.2
"43",6,2.9
"44",6,3.1
"45",7,2
"46",7,2.2
"47",7,3
"48",5,2.2
"49",7,2.4
"50",6,2.2
"51",12,7.3
"52",13,7.4
"53",13,6.8
"54",13,7.4
"55",13,7.2
"56",13,7.6
"57",14,7.6
"58",13,7.9
"59",12,7
"60",13,7.3
"61",12,7.3
"62",13,7.5
"63",13,7.6
"64",12,7.2
"65",14,7.1
"66",14,7.1
"67",13,7.4
"68",12,7.3
"69",13,7
"70",14,7.1
"71",14,7
"72",12,6.7
"73",13,7.2
"74",14,7.2
"75",14,6.9
"76",13,6.2
"77",14,6
"78",13,6.4
"79",14,6.8
"80",14,5.7
"81",13,7.2
"82",13,6.1
"83",14,7.2
"84",13,5.9
"85",12,6.7
"86",12,6.8
"87",13,6.2
"88",14,6
"89",13,5.7
"90",13,6.5
"91",13,7.8
"92",14,6.2
"93",14,7
"94",13,6.8
"95",13,6.2
"96",13,6.2
"97",14,6.5
"98",12,6.6
"99",14,6.7
"100",13,6.4
"101",20,8.6
"102",20,9.1
"103",20,8.7
"104",20,9.2
"105",21,7.9
"106",20,8.9
"107",20,9.5
"108",20,9.2
"109",20,8.8
"110",18,9.2
"111",21,8.6
"112",21,8.9
"113",20,9.7
"114",19,8.2
"115",20,8.2
"116",18,9.2
"117",20,9.7
"118",19,9.1
"119",20,8.5
"120",18,8.1
"121",18,7.9
"122",19,8.1
"123",21,9.2
"124",19,9.1
"125",19,8.9
"126",20,4.9
"127",21,5
"128",19,7.2
"129",19,6
"130",21,6.3
"131",20,7.7
"132",20,6.8
"133",19,7.9
"134",19,6.5
"135",19,8.1
"136",20,5.8
"137",21,8.7
"138",20,7
"139",20,6.6
"140",18,6.6
"141",20,8.8
"142",21,7.8
"143",19,7.1
"144",19,8.9
"145",20,9.1
"146",19,11.1
"147",21,8.9
"148",20,6.3
"149",19,8
"150",19,5.9
"151",26,14.1
"152",27,14.2
"153",27,13.7
"154",27,13.2
"155",27,13.1
"156",27,14.6
"157",28,14.5
"158",27,15
"159",27,14.1
"160",27,14.5
"161",27,12.9
"162",27,14.6
"163",27,14
"164",27,13
"165",27,13.6
"166",28,15
"167",27,14.9
"168",27,13.7
"169",27,13.5
"170",27,13.2
"171",26,14.1
"172",26,13.3
"173",28,13.8
"174",28,14.2
"175",27,13.8
"176",27,9.2
"177",27,10.2
"178",26,10.8
"179",26,10.8
"180",26,12.1
"181",26,11.6
"182",28,10.5
"183",26,13
"184",28,9.6
"185",26,12.6
"186",27,9.8
"187",27,13.3
"188",27,11
"189",27,10.6
"190",26,11.5
"191",28,13.2
"192",26,11.7
"193",28,11.7
"194",27,12.2
"195",27,11.9
"196",28,13.7
"197",27,13.2
"198",26,11.3
"199",26,12.4
"200",26,9.4
